Mot1,Mot2,Poids
Adil,Alizée,0.0844327176781002
Adil,Ariane,0.0379947229551451
Adil,Damien,0.0237467018469657
Adil,Daniel,0.0474934036939314
Adil,David M.,0.0474934036939314
Adil,Délia,0.0379947229551451
Adil,Dorine,0.0237467018469657
Adil,Elliot,0.0617414248021108
Adil,Eloise,0.138710893328308
Adil,Fred,0.0712401055408971
Adil,Gael,0.156728232189974
Adil,Greg,0.0379947229551451
Adil,Hani,0.0422163588390501
Adil,Ingalena,0.0237467018469657
Adil,Jason,0.0964945344892574
Adil,Jeff,0.275461741424802
Adil,Jerome,0.118733509234828
Adil,Lorraine,0.189973614775726
Adil,Manon,0.0379947229551451
Adil,Marie,0.0237467018469657
Adil,Mark,0.0844327176781002
Adil,Maryne,0.0422163588390501
Adil,Maxence,0.0964945344892574
Adil,Maxi,0.0237467018469657
Adil,Melissa,0.189973614775726
Adil,Mikael,0.0712401055408971
Adil,Nico,0.156728232189974
Adil,Noémie,0.0712401055408971
Adil,P-A,0.138710893328308
Adil,Pablo,0.0712401055408971
Adil,Robert,0.0379947229551451
Adil,Stoud,0.138710893328308
Adil,Tess,0.138710893328308
Adil,Yacine,0.0237467018469657
Adil,Yohan,0.0712401055408971
Alexandre,Ariane,0.249844087311106
Alexandre,Arte,0.11053010314224
Alexandre,Célia,0.325833533221396
Alexandre,Jeremie,0.249844087311106
Alexandre,Manon,0.173854641400816
Alexandre,Manon S.,0.0345406572319501
Alexandre,Merita,0.11053010314224
Alexandre,Norma,0.0345406572319501
Alexandre,Romane,0.0345406572319501
Alexandre,Tess,0.249844087311106
Alizée,Eloise,0.0844327176781002
Alizée,Hani,0.0422163588390501
Alizée,Jason,0.0422163588390501
Alizée,Mark,0.0844327176781002
Alizée,Maryne,0.0422163588390501
Alizée,Maxence,0.232189973614776
Alizée,P-A,0.0844327176781002
Alizée,Stoud,0.211081794195251
Alizée,Tess,0.211081794195251
Ariane,Arte,0.0345406572319501
Ariane,Bertil,0.12664907651715
Ariane,Célia,0.455360997841209
Ariane,Damien,0.0802110817941952
Ariane,Délia,0.0379947229551451
Ariane,Dorine,0.0422163588390501
Ariane,Elliot,0.0759894459102902
Ariane,Gael,0.304725353801871
Ariane,Greg,0.0379947229551451
Ariane,Jason,0.12664907651715
Ariane,Jeanne,0.300503717917966
Ariane,Jeff,0.0379947229551451
Ariane,Jeremie,0.303382106020628
Ariane,Jerome,0.232189973614776
Ariane,Juliette,0.0759894459102902
Ariane,Justine,0.0345406572319501
Ariane,Manon,0.417366274886064
Ariane,Manon S.,0.0345406572319501
Ariane,Marie,0.0422163588390501
Ariane,Matthieu,0.0345406572319501
Ariane,Maxence,0.519261213720317
Ariane,Merita,0.0690813144639002
Ariane,Mikael,0.0379947229551451
Ariane,Nico,0.11820580474934
Ariane,Noémie,0.0379947229551451
Ariane,Norma,0.0345406572319501
Ariane,Pablo,0.266730630846726
Ariane,Robert,0.156200527704485
Ariane,Romane,0.0345406572319501
Ariane,Sélim,0.0345406572319501
Ariane,Tess,0.249844087311106
Ariane,Yohan,0.0379947229551451
Arte,Célia,0.11053010314224
Arte,Jeremie,0.11053010314224
Arte,Manon,0.0345406572319501
Arte,Manon S.,0.0345406572319501
Arte,Merita,0.11053010314224
Arte,Norma,0.0345406572319501
Arte,Romane,0.0345406572319501
Arte,Tess,0.0345406572319501
Bertil,Gael,0.0949868073878628
Bertil,Maxence,0.221635883905013
Bertil,Noémie,0.12664907651715
Bertil,Pablo,0.316622691292876
Bertil,Yohan,0.0949868073878628
Célia,Chloé,0.0379947229551451
Célia,Dafina,0.0379947229551451
Célia,Gael,0.0345406572319501
Célia,Jeanne,0.11053010314224
Célia,Jeremie,0.379371551930919
Célia,Juliette,0.0759894459102902
Célia,Justine,0.0725353801870952
Célia,Ludo,0.0379947229551451
Célia,Magali,0.0379947229551451
Célia,Manon,0.607339889661789
Célia,Manon S.,0.0345406572319501
Célia,Matthieu,0.0725353801870952
Célia,Merita,0.14507076037419
Célia,Norma,0.0345406572319501
Célia,Pablo,0.0345406572319501
Célia,Romane,0.0345406572319501
Célia,Sarah,0.0379947229551451
Célia,Sélim,0.0725353801870952
Célia,Tess,0.249844087311106
Chloé,Dafina,0.0379947229551451
Chloé,Justine,0.0379947229551451
Chloé,Ludo,0.0379947229551451
Chloé,Magali,0.0379947229551451
Chloé,Manon,0.0379947229551451
Chloé,Matthieu,0.0379947229551451
Chloé,Sarah,0.0379947229551451
Chloé,Sélim,0.0379947229551451
Dafina,Justine,0.0379947229551451
Dafina,Ludo,0.0379947229551451
Dafina,Magali,0.0379947229551451
Dafina,Manon,0.0379947229551451
Dafina,Matthieu,0.0379947229551451
Dafina,Sarah,0.0379947229551451
Dafina,Sélim,0.0379947229551451
Damien,Dorine,0.224274406332454
Damien,Elliot,0.0997361477572559
Damien,Fred,0.0237467018469657
Damien,Gael,0.205277044854881
Damien,Hugues,0.0949868073878628
Damien,Ingalena,0.0617414248021108
Damien,Jerome,0.141952506596306
Damien,Marie,0.0659630606860158
Damien,Maxi,0.0617414248021108
Damien,Mikael,0.0997361477572559
Damien,Nico,0.300263852242744
Damien,Noémie,0.0997361477572559
Damien,Pablo,0.103957783641161
Damien,Robert,0.0422163588390501
Damien,Yacine,0.0870712401055409
Damien,Yohan,0.163060686015831
Daniel,David M.,0.123482849604222
Daniel,Fred,0.0474934036939314
Daniel,Gael,0.123482849604222
Daniel,Jeff,0.0474934036939314
Daniel,Jerome,0.0474934036939314
Daniel,Nico,0.250131926121372
Daniel,Yohan,0.202638522427441
David,Marie,0.189973614775726
David M.,Fred,0.0474934036939314
David M.,Gael,0.123482849604222
David M.,Jeff,0.0474934036939314
David M.,Jerome,0.0474934036939314
David M.,Nico,0.123482849604222
David M.,Yohan,0.0759894459102902
Délia,Elliot,0.0379947229551451
Délia,Gael,0.0379947229551451
Délia,Greg,0.0379947229551451
Délia,Jeff,0.0379947229551451
Délia,Manon,0.0379947229551451
Délia,Nico,0.0379947229551451
Délia,Robert,0.0379947229551451
Dorine,Elliot,0.0712401055408971
Dorine,Fred,0.0712401055408971
Dorine,Gael,0.176781002638522
Dorine,Hugues,0.0949868073878628
Dorine,Ingalena,0.0237467018469657
Dorine,Jerome,0.0659630606860158
Dorine,Marie,0.0659630606860158
Dorine,Maxi,0.0237467018469657
Dorine,Mikael,0.0237467018469657
Dorine,Nico,0.271767810026385
Dorine,Noémie,0.0237467018469657
Dorine,Pablo,0.113456464379947
Dorine,Robert,0.0422163588390501
Dorine,Yacine,0.134564643799472
Dorine,Yohan,0.134564643799472
Elliot,Fiona,0.170976253298153
Elliot,Fred,0.16622691292876
Elliot,Gael,0.451187335092348
Elliot,Greg,0.164643799472296
Elliot,Ingalena,0.0617414248021108
Elliot,Jeff,0.132981530343008
Elliot,Jerome,0.175725593667546
Elliot,Manon,0.208970976253298
